Epoch,Adversarial Loss,Generator Loss,Real Loss,Fake Loss,Discriminator Loss,MS-SSIM Loss,GD Loss,MAE Loss,Validation Generator Loss,Validation MS-SSIM,Validation GD Loss,Validation MAE,Validation Adversarial Loss
1,1.9902267306977748,3.2512134233448533,0.3211255177450462,0.4308420314145823,0.37598377461846627,0.51497869047874,0.03070887175202043,0.03112107183118452,2.522622346055747,0.39638727887169173,0.020754554217259233,0.014214928563875785,2.186583784785757
2,2.2043800408878855,3.1188055806631723,0.20797942940705913,0.3326411713516261,0.2703103004457587,0.49355486449086666,0.023753503108380522,0.023503887653541368,2.6141043201238414,0.41243857200129774,0.02524748438424945,0.018404559005888173,1.9164168670100712
3,2.203625432279189,3.0561354179123104,0.2022049352798862,0.3285262090702878,0.2653655721729094,0.48379173565203554,0.02203214482262613,0.02117158633658297,2.6299564876285286,0.4148928579129902,0.019532790756589705,0.013784701460162583,2.145636918926518
4,2.1964869870962533,3.008079949133267,0.20018376043521224,0.32654958093234293,0.26336667065764663,0.4766811712232752,0.01963689705419833,0.018531674679573427,2.64053726585015,0.416163061175458,0.019277991759310473,0.013540543237954913,2.2148072612175973
5,2.19493152555903,2.9922922536432437,0.19963923376039963,0.32604346859530015,0.2628413510831253,0.47423004438161814,0.0192040796194323,0.017961329123707268,2.6507590985716787,0.4184245200684437,0.0190457718777408,0.01382989176088807,2.146726262459787
6,2.194402182204985,2.9857352067726355,0.1994258928861636,0.3259584724262899,0.2626921826377174,0.4731785515047001,0.019104642857774714,0.01783914614880375,2.63437524547545,0.4154986800457722,0.01898688279473095,0.013470973678549944,2.178506123257122
7,2.194717048588298,2.984206820900078,0.19979952384414126,0.32622041847340705,0.2630099712491436,0.47292490408257853,0.019122514771464975,0.01779902726445844,2.628651616515523,0.41396223249094544,0.018938022329866026,0.01332092524080204,2.252385462805579
8,2.194539736607401,2.9822886683309218,0.19975208211703796,0.32636734629198244,0.2630597141582367,0.4725567060100149,0.019320522586215,0.01790092192296536,2.6162339508732826,0.4123301190950201,0.019793481221048778,0.014220593201446606,2.1647832008658043
9,2.1844166176336195,3.0012375971874823,0.20220766098056292,0.3289028369189702,0.26555524895357735,0.47522613006813663,0.021028187422343955,0.019631796373370407,2.630746370324722,0.41437609088809596,0.019222002524343695,0.01358415483458927,2.2336732904897088
10,2.196080567717256,2.979801668577962,0.2001226470364337,0.3263549465573393,0.2632387968034192,0.4721312510780854,0.019183453378634644,0.018026677856974965,2.607099843538525,0.41134095763831235,0.01897328887559181,0.013121422807519389,2.1391876955893525
11,2.1948445807087933,2.97525383108073,0.19976053099159816,0.3261183060637068,0.2629394185189422,0.47144353790414206,0.01906913910263908,0.017781235556586776,2.5973412837571526,0.40959155538359215,0.018954202815630226,0.013922514682238528,2.1383045965363348
12,2.194649501909869,2.9738387132133464,0.1996842246221186,0.3262088063161972,0.26294651553285203,0.4712209081973804,0.019049971814516533,0.017730815463496478,2.603419274889107,0.4101336938780686,0.018942301724780425,0.013236063913119813,2.2087748584689506
13,2.1945433530667433,2.971390210709411,0.1995614546235587,0.326123933850996,0.26284269421931233,0.47083164101087366,0.019041736190029423,0.017631458839472102,2.6039456777449037,0.4104878557565619,0.018914720391812596,0.013252097415974532,2.1770345073778894
14,2.1949497881155864,2.9720970718341144,0.19962194697512498,0.32626000698478913,0.26294097684113654,0.4709280539409086,0.019045758278936748,0.017735499150255685,2.5783333753961384,0.4060510181912212,0.01893680734169766,0.013196390105238539,2.19788136380572
15,2.1968912997128025,2.9713882793029045,0.1999298688076,0.32662946535850085,0.26327966704984235,0.47074926776633735,0.019048050574029588,0.018000053777532953,2.571525714444277,0.4055348284492724,0.01895428078547338,0.013651979619747706,2.114209646240724
16,2.1946888010299435,2.969918769022256,0.20074472324542966,0.3276056515165332,0.26417518738207024,0.4705660000985675,0.019044078972046897,0.017744247791122297,2.596729583863829,0.40928033926215857,0.01896167064049004,0.013336873645808572,2.1749800845581952
17,2.1935319906522808,2.9693576375173056,0.20084972948219176,0.3275039110522721,0.26417682019918265,0.4704367206029754,0.019270821051294018,0.017789890089573265,2.588661404357706,0.40835231175041914,0.018938822463469385,0.013321598721446195,2.1257422590833843
18,2.1946670209021835,2.970395599107688,0.20091253868777137,0.3275141377782118,0.26421333826347765,0.47061904412115174,0.01918877032663699,0.017759212156836377,2.579151993112819,0.40656744927965277,0.018922624039622554,0.013238668510297869,2.1517200871903364
19,2.192952637372441,2.9680767390840535,0.20107717089323418,0.32758034295799193,0.2643287567699163,0.470277277973509,0.019082456525637295,0.017682981669255516,2.6024705429489794,0.41028225816861047,0.018929822960468228,0.013702349246122927,2.1628964126708117
20,2.19476492879127,2.9669723192467496,0.20102557385440772,0.3275535640208916,0.26428956900461015,0.47004466262474126,0.01923350544606097,0.01773258957835754,2.613609903632199,0.41194357562274436,0.019246430557344207,0.013576654450427491,2.182507294825088
