Epoch,Adversarial Loss,Generator Loss,Real Loss,Fake Loss,Discriminator Loss,Epoch Validation Generator Loss,Epoch Validation MS-SSIM,Epoch Validation GD Loss,Epoch Validation MAE,Epoch Validation Adversarial Loss
1,1.3297979129375295,1.519451364304157,0.4938686869499531,0.5923684689085534,0.5431185776756164,1.521916848547915,0.23698232806426414,0.003960213553967905,0.005592156269716376,1.809410160090378
2,1.7188967770464876,1.5412123299659566,0.3868778029147615,0.4920888458921554,0.4394833246570952,1.5593731848800436,0.24384941485650996,0.002131201273128836,0.005060987960376301,1.7816901277512946
3,1.8693821899307534,1.5967843409294777,0.3413289816392229,0.45306570425946663,0.39719734264181017,1.6293576117208664,0.2514935295156976,0.0026452541834318098,0.004460983304678403,2.2658039163401784
4,1.8974085985219225,1.6363315178485627,0.3409911363682848,0.4503068224800394,0.3956489794178212,1.6990219991891942,0.25934740576021215,0.0021584742066903693,0.004029651888289508,2.734988724911942
5,1.873574184572443,1.662496810872504,0.36839631921433386,0.45430300040447963,0.41134966003133894,1.6786082271248737,0.2621232088100403,0.002246495495436396,0.00420132418722905,1.988423061022099
6,1.8753121494105522,1.6777766613250082,0.36646706240608334,0.4507656416867642,0.4086163522081172,1.6608949154615402,0.2634771496374556,0.0021882194570857693,0.0038279744767351076,1.4803164160830227
7,1.8775815322297684,1.6910266748387763,0.3963589755715208,0.4561427930187672,0.4262508840510186,1.7240790513918756,0.26408816858174955,0.002208014237421981,0.003915009355392961,2.668540274011011
8,1.8454451818542277,1.6982119413639636,0.40826378023370785,0.4583175398948345,0.43329065968381597,1.6664319775523024,0.2676312894897258,0.0029437275197198415,0.004191760310006546,1.070175020043996
9,1.8136033040792383,1.7086290395513495,0.4263424269569681,0.46937782099906433,0.4478601238068114,1.703917514612066,0.27046505393500025,0.002281771561761258,0.004131428584359844,1.4942798062445635
10,1.787421537675756,1.7132728122143035,0.4408347465193018,0.47152089584381024,0.4561778212354538,1.7433921702681703,0.27697276339886034,0.0021674294234315388,0.0039996261992665165,1.5077706777312336
11,1.758518533630574,1.712832955045903,0.43784133511020784,0.4852931669037393,0.46156725135255366,1.7471519068200538,0.2751718004174689,0.0021064037982215906,0.0040803859756511456,1.7986862993145243
12,1.736893455132525,1.7141175154422192,0.4425275579158296,0.4806637851101287,0.4615956712783651,1.745054081082344,0.275837566069466,0.0021549396559303784,0.004061367777931662,1.6762475292891899
13,1.6864537528220644,1.7126945682789416,0.4695127340707373,0.48551420984116006,0.4775134718291303,1.7528539292038756,0.2800041636095402,0.0021702160814497124,0.003997767110357675,1.3332192636630003
