Epoch,Adversarial Loss,Generator Loss,Real Loss,Fake Loss,Discriminator Loss,MS-SSIM Loss,GD Loss,MAE Loss,Validation Generator Loss,Validation MS-SSIM,Validation GD Loss,Validation MAE,Validation Adversarial Loss
1,0.7528314305873627,2.647523433451957,0.7571808547161996,0.8583637789716112,0.8077723168058598,0.42746158447671445,0.009132731435226,0.03597962197312649,2.064965644890958,0.33553994621368166,0.005972411377637825,0.008804717357518112,0.7389766890951928
2,0.7436165828654107,2.5289297429044195,0.7188862184260754,0.8063445856723379,0.7626154015926605,0.4117144365513578,0.0058986917659244005,0.015563602172076068,2.005552092606717,0.326079859537013,0.00573482254193105,0.007346402576931336,0.7198341332693049
3,0.7424557620667397,2.530536284548171,0.6968202038775099,0.7831349325180054,0.7399775685401673,0.41194436747977076,0.0058378283615085355,0.01590946495612251,2.0618244298595063,0.3347142161206996,0.005823334292607739,0.009735290989022148,0.7596101454914884
4,0.758286051674092,2.5546210246390486,0.6739999148693491,0.7626470047869581,0.7183234604876092,0.4157489132120254,0.00592504232141011,0.016288197505822843,2.1175632494244168,0.34371996877041266,0.005608743961969826,0.010973168762420561,0.7732304408353694
5,0.7820154216948976,2.5645750833572225,0.6499256895197199,0.738204293377856,0.694064990966878,0.41726185068171073,0.005877124188923614,0.016026083072845605,2.0905722390781056,0.3397566339278475,0.005663335780635417,0.007228749349683603,0.7828069942745757
6,0.789474230370623,2.539950126637804,0.6480040015058315,0.7327336205827429,0.6903688112218329,0.413067887083013,0.005792419024287386,0.016276673080518524,2.1437057128294987,0.3483302669322237,0.0057235679813992585,0.007578440945895211,0.8084419229404723
7,0.8338081234059436,2.530034963577352,0.6280180437387304,0.7056908441984907,0.6668544435754735,0.4111291079064633,0.005629015178221496,0.01594089329123814,2.1142503914046795,0.342300359159708,0.0053455822876941885,0.008218657924481568,0.937679926765726
8,1.013066851610833,2.5119148688620707,0.552420777729217,0.6384684054268167,0.5954445916667898,0.4062905126175982,0.007125052499703746,0.016393394748026386,2.0640092937553183,0.33106740960415376,0.009138646159702515,0.009653586224885657,1.1762520854777478
9,1.186056346690401,2.5240929848082523,0.47135763933683966,0.5840090378801873,0.5276833387511842,0.40570649606116277,0.01136019511069072,0.01919099449833974,2.099774092118791,0.3336945655656622,0.009308106527277368,0.009515200978135095,1.5756677775940997
10,1.4257303749500436,2.559265849793211,0.41853500919773223,0.5229322895344267,0.47073364979409155,0.40939292562768814,0.012332740856057152,0.019289036216016145,2.185815190381192,0.34565312003201626,0.010914230191005157,0.010399432098641595,1.8116561109398275
