Epoch,Batch,Batch Adversarial Loss,Batch Generator Loss,Batch Real Loss,Batch Fake Loss,Batch Discriminator Loss
1,0,0.5101022720336914,0.2749033570289612,0.513110876083374,1.2184770107269287,0.8657939434051514
1,1,0.6374927759170532,0.26526007056236267,0.47484350204467773,1.622588038444519,1.0487158298492432
1,2,0.7390896081924438,0.24642351269721985,0.5634447336196899,1.0013492107391357,0.7823969721794128
1,3,0.6003148555755615,0.23626166582107544,0.5519353151321411,1.0914745330810547,0.8217049241065979
1,4,0.9087634682655334,0.22809666395187378,0.6293201446533203,0.8280293941497803,0.7286747694015503
1,5,0.8105108737945557,0.23261934518814087,0.5904425382614136,1.172013521194458,0.8812280297279358
1,6,0.6486937999725342,0.21866126358509064,0.5445147752761841,1.0860620737075806,0.8152884244918823
1,7,0.6491070985794067,0.19881369173526764,0.9017806053161621,0.9286516904830933,0.9152161478996277
1,8,0.7389253973960876,0.19637395441532135,0.6080074906349182,0.972509503364563,0.790258526802063
1,9,0.9023229479789734,0.21495355665683746,0.7301656007766724,0.8865420818328857,0.808353841304779
1,10,0.6407483220100403,0.17679230868816376,0.5850514769554138,0.7770168781280518,0.6810342073440552
1,11,0.8880563378334045,0.19246402382850647,0.5864914655685425,1.0548547506332397,0.8206731081008911
1,12,0.8217885494232178,0.18186414241790771,0.7099900841712952,1.0047998428344727,0.8573949337005615
1,13,0.8627015352249146,0.18949566781520844,0.6812366247177124,0.8589318990707397,0.7700842618942261
1,14,0.9048618078231812,0.1747428923845291,1.0260274410247803,0.7748945355415344,0.900460958480835
1,15,0.9237494468688965,0.1939382255077362,0.620953381061554,0.7675116658210754,0.6942325234413147
1,16,0.8718858957290649,0.16701693832874298,0.8193783164024353,0.809819221496582,0.814598798751831
1,17,0.7073119282722473,0.16598853468894958,0.6177687644958496,0.9267429113388062,0.7722558379173279
1,18,0.7792791724205017,0.1678558737039566,0.5215437412261963,1.0883023738861084,0.8049230575561523
1,19,0.7435902953147888,0.1511354297399521,0.5394916534423828,1.0980432033538818,0.8187674283981323
1,20,0.8434032797813416,0.15629678964614868,0.5253151655197144,0.9880804419517517,0.7566977739334106
1,21,1.0094592571258545,0.16151902079582214,0.6171088814735413,0.7169308662414551,0.6670198440551758
1,22,0.7142324447631836,0.13996222615242004,0.6818845272064209,0.875575065612793,0.7787297964096069
1,23,0.772986650466919,0.14383268356323242,0.6783168315887451,0.8762391805648804,0.7772780060768127
1,24,0.8555599451065063,0.14560413360595703,0.5356302261352539,0.8476994037628174,0.6916648149490356
1,25,0.796953022480011,0.13601748645305634,0.6075893640518188,0.8202724456787109,0.7139309048652649
1,26,0.9412731528282166,0.14037318527698517,0.5368294715881348,0.8291797041893005,0.68300461769104
1,27,0.7519307136535645,0.1284552961587906,0.7573881149291992,0.8187358379364014,0.7880619764328003
1,28,0.7811163663864136,0.131297767162323,0.6322727799415588,0.9215247631072998,0.7768987417221069
1,29,0.6917150616645813,0.1319381296634674,0.5584356784820557,0.7862356305122375,0.6723356246948242
1,30,0.6799280643463135,0.12727898359298706,0.6986081004142761,0.8644454479217529,0.7815268039703369
1,31,0.879794180393219,0.14387933909893036,0.5976139307022095,0.9409694671630859,0.7692916989326477
1,32,0.8898223042488098,0.12737011909484863,0.6085435152053833,0.6997549533843994,0.6541492342948914
1,33,0.7948312759399414,0.10839612036943436,0.4714794158935547,0.6995234489440918,0.5855014324188232
1,34,0.8991801142692566,0.12664413452148438,0.6092687845230103,0.8861335515975952,0.7477011680603027
1,35,0.9509211778640747,0.12697860598564148,0.6749218702316284,0.8457927703857422,0.7603573203086853
1,36,0.8369697332382202,0.1277317851781845,0.5224652886390686,0.8772657513618469,0.6998655200004578
1,37,0.8719624280929565,0.11579176783561707,0.6369998455047607,0.7473033666610718,0.6921516060829163
1,38,0.6982184052467346,0.10217603296041489,0.6161580681800842,0.8698366284370422,0.7429973483085632
1,39,0.7675946950912476,0.13034549355506897,0.6359685659408569,0.9667398929595947,0.8013542294502258
1,40,0.9171004295349121,0.12052911520004272,0.6966032981872559,0.8319171667098999,0.7642602324485779
1,41,0.8410936594009399,0.11282919347286224,0.6397709846496582,0.8956117630004883,0.7676913738250732
1,42,0.9631109833717346,0.11558645963668823,0.7111238837242126,0.91910719871521,0.8151155710220337
1,43,0.9706977605819702,0.11751489341259003,0.6416598558425903,0.7364328503608704,0.6890463829040527
1,44,0.7631049156188965,0.11080789566040039,0.5207695364952087,0.8915855884552002,0.7061775922775269
1,45,0.6845537424087524,0.08892067521810532,0.7016097903251648,0.839505672454834,0.7705577611923218
1,46,0.8155021667480469,0.09966324269771576,0.602013349533081,0.8726853132247925,0.7373493313789368
1,47,0.770470142364502,0.10195310413837433,0.7057193517684937,1.0165200233459473,0.8611196875572205
1,48,0.8437762260437012,0.10615302622318268,0.6146222949028015,1.1014999151229858,0.8580610752105713
1,49,0.7514950633049011,0.09658893942832947,0.589807391166687,0.9466046094894409,0.768206000328064
1,50,0.9653381705284119,0.11567164957523346,0.7729446291923523,0.9847646951675415,0.8788546323776245
