,Cirrus,Spectralis,Topcon
IRF,-370837.125,114356.66666666663,-24877.0
SRF,-1111094.8333333333,164166.58333333337,-186347.45454545456
PED,-1259207.75,-60891.041666666686,-577134.7272727273
