,Cirrus,Spectralis,Topcon
IRF,1019594.5,-43243.666666666686,106919.0
SRF,-922565.6666666666,-2972.333333333314,-130091.45454545456
PED,-1081575.0,-53934.83333333334,-482374.7272727273
