,Cirrus,Spectralis,Topcon
IRF,-154925.125,-69642.33333333337,-217700.5
SRF,1146788.1666666667,24248.583333333372,-71484.3181818182
PED,-287894.75,-63205.041666666686,-357946.4090909092
