,Cirrus,Spectralis,Topcon
IRF,1604.875,-165115.33333333337,-286820.5
SRF,1139646.1666666667,-20942.416666666628,-79697.3181818182
PED,-400356.75,-15210.041666666686,-169529.40909090918
