Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.44097995545657015 (0.49705824073905586),0.7641509433962265 (0.42502981216430247),0.6517094017094017 (0.4769384709723379)
Spectralis,0.7 (0.4599030238723228),0.7819148936170213 (0.41404816841316766),0.785 (0.41185326947577994)
Topcon,0.9283582089552239 (0.2582796435962072),0.9631449631449631 (0.18863767787801042),0.8506666666666667 (0.35689290973569066)
