Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.34146341463414637 (0.48009145470217307),0.9745762711864406 (0.15807952162954783),0.71875 (0.45137584946507153)
TRAIN010,0.6595744680851063 (0.476393067340331),0.875 (0.3320184038158743),0.75 (0.43471413360133115)
TRAIN011,0.30851063829787234 (0.4643551603453688),0.3333333333333333 (0.47413732351544274),0.25471698113207547 (0.43777186393343276)
TRAIN013,0.5 (0.5027397465361702),0.746031746031746 (0.4387759354802626),0.8064516129032258 (0.3983041789032373)
TRAIN015,0.390625 (0.48980753089640694),1.0 (0.0),0.7045454545454546 (0.4615215208036402)
TRAIN028,0.7551020408163265 (0.43448303787844417),1.0 (0.0),0.9210526315789473 (0.27327631273309394)
TRAIN029,0.90625 (0.29614458108029906),0.9302325581395349 (0.25776963111323353),1.0 (0.0)
TRAIN032,nan (nan),0.6 (0.50709255283711),0.6326530612244898 (0.4870779177494948)
TRAIN041,0.8913043478260869 (0.31469638768997776),1.0 (0.0),0.8571428571428571 (0.3535533905932738)
TRAIN046,0.7692307692307693 (0.4385290096535146),0.6086956521739131 (0.4934351637951689),0.7333333333333333 (0.45773770821706344)
TRAIN049,0.96875 (0.1746763035549529),0.926605504587156 (0.26198748974757124),0.8585858585858586 (0.3502215336827857)
TRAIN050,0.9560439560439561 (0.2061330698622676),0.921875 (0.26942268404342895),0.9761904761904762 (0.1533709949008578)
TRAIN051,0.7974683544303798 (0.40445426464663115),1.0 (0.0),0.8984375 (0.3032590366453844)
TRAIN056,0.9459459459459459 (0.22924343513512563),0.796875 (0.40550526976788337),0.671875 (0.4732423621500228)
