Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.47624664882763845 (0.24935169079427963),0.7681201793253422 (0.16406957085303245),0.7150183954047706 (0.23868695111700633)
Spectralis,0.3941998220585539 (0.20462925218694433),0.6179575356374304 (0.3420818791201282),0.6376522541873985 (0.22152977871123694)
Topcon,0.48103987277574733 (0.27028741025785935),0.6911205034932972 (0.2811677968603766),0.5249148346483707 (0.2681650395548602)
