Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.49888849015094644 (0.2732678585258204),0.7303329397058278 (0.15995966949737908),0.6028170129776789 (0.2835760578051054)
Spectralis,0.5962945512769854 (0.24441320772662883),0.8543457428614298 (0.14651330415545538),0.5832987251954201 (0.29102155808698055)
Topcon,0.6960144015519243 (0.18790378725109264),0.6293279226512125 (0.18255108697927883),0.5769894936392385 (0.20861386956210093)
