Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5037288641906343 (0.339204038038925),0.9168690599035472 (0.2484857700870422),0.7265625 (0.4474748706268539)
TRAIN010,0.8565721372142434 (0.2974051650851922),0.9140625 (0.2813730045980521),0.9375 (0.2430125883781254)
TRAIN011,0.4936216779751703 (0.4449961484636573),0.4269551944453269 (0.43708116763590626),0.1854583547101356 (0.34653339144591466)
TRAIN013,0.43605501746060327 (0.443588186228032),0.7310263146646321 (0.3331516828275468),0.5559113975177752 (0.39626364197841046)
TRAIN015,0.484375 (0.5017194843185603),0.8746623237384483 (0.11902991903650666),0.7660421531181782 (0.26056649335139526)
TRAIN028,1.0 (0.0),0.925143509495015 (0.15287268666299061),0.8393805598726078 (0.32349720119529424)
TRAIN029,0.8611156654601194 (0.24426004045122024),0.9444879877324007 (0.20212643146020395),1.0 (0.0)
TRAIN032,0.6592956325229333 (0.1328480444614844),0.8037180547811547 (0.2979795955545462),0.673469387755102 (0.4738035414793428)
TRAIN041,0.9853421729438159 (0.0610267551838953),0.9591836734693877 (0.199914947901746),0.8571428571428571 (0.3535533905932738)
TRAIN046,0.7405602141302459 (0.2569039969268929),0.6545421426393547 (0.4677031371802756),0.8235083854928309 (0.2151255101697776)
TRAIN049,0.9375 (0.2430125883781254),0.8279510468128137 (0.34169028455292255),0.731004290166311 (0.3875315828754942)
TRAIN050,0.78072569379583 (0.3457543835427429),0.8359375 (0.3717874202104902),0.8594426950439811 (0.24121960909840534)
TRAIN051,0.5961954059894197 (0.4053199051816974),0.9547860836610198 (0.14294320538214456),0.890625 (0.31333549728408944)
TRAIN056,0.8554331306368113 (0.28874560229793683),0.84375 (0.36596252735569995),0.390625 (0.491747370293402)
