Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6885715675074607 (0.40357407571327947),0.8541042266180738 (0.3413971115409599),0.8980267772451043 (0.27010458273959015)
Spectralis,0.7345072840131364 (0.3401953088349295),0.5119431852077951 (0.4732712184517707),0.6203287327472045 (0.4030198506802533)
Topcon,0.7300071990699507 (0.37280746996315717),0.7820306316716596 (0.36274009831855386),0.7661180504364893 (0.37380644310982325)
