Device,PSNR,SSIM,MSE
Cirrus,22.416531746031747 (0.5751636709053695),0.24740917107583776 (0.03478541132134371),0.005783577974412649 (0.0007820833240868233)
Spectralis,25.471202127659577 (1.6655373768553317),0.5498164893617021 (0.07739568183933718),0.003081197547602487 (0.0015133900901353884)
T-1000,23.892321428571428 (1.08337327879743),0.29475396825396827 (0.03513597638859441),0.004272628510888252 (0.0020285216799507014)
T-2000,24.56588888888889 (0.8054359396112908),0.3713571428571429 (0.0431153044741663),0.0035592573720754847 (0.0007393951395982455)
