Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.0 (0.0),0.1328125 (0.34070546889569153)
TRAIN010,0.010638297872340425 (0.10314212462587934),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN011,0.23404255319148937 (0.4256691611203412),0.011494252873563218 (0.10721125348377948),0.0 (0.0)
TRAIN013,0.7391304347826086 (0.4415150045959087),0.12698412698412698 (0.3356295717325918),0.03225806451612903 (0.17812704394997528)
TRAIN015,0.0 (0.0),0.0 (0.0),0.06818181818181818 (0.25497170592935275)
TRAIN028,0.061224489795918366 (0.24222607082590245),0.8 (0.40583972495671394),0.868421052631579 (0.3425699874501045)
TRAIN029,0.21875 (0.42001344064515433),0.6976744186046512 (0.4647008111181006),0.7551020408163265 (0.4344830378784442)
TRAIN032,nan (nan),0.0 (0.0),0.24489795918367346 (0.43448303787844417)
TRAIN041,0.10869565217391304 (0.3146963876899777),0.5714285714285714 (0.5),0.7959183673469388 (0.40720550896397784)
TRAIN046,0.15384615384615385 (0.3755338080994054),0.13043478260869565 (0.34050261230349943),0.5 (0.5163977794943222)
TRAIN049,0.0078125 (0.08838834764831843),0.009174311926605505 (0.09578262852211514),0.2828282828282828 (0.45266566570285055)
TRAIN050,0.01098901098901099 (0.10482848367219184),0.0 (0.0),0.0 (0.0)
TRAIN051,0.0 (0.0),0.0 (0.0),0.0703125 (0.25667755285909255)
TRAIN056,0.0 (0.0),0.0 (0.0),0.0 (0.0)
