Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.4668094218415418 (0.49943217980886556),0.7526652452025586 (0.43192366481786326),0.615686274509804 (0.4869102090505449)
Spectralis,0.6875 (0.46496770700066814),0.8432432432432433 (0.3645579071767288),0.8383233532934131 (0.3692611520688872)
Topcon,0.8920863309352518 (0.3106440459726927),0.908883826879271 (0.2881025671748151),0.9467787114845938 (0.22478951151988008)
