Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6641703476011753 (0.23599097973757013),0.4265808037975255 (0.35140814280449684),0.56858832065178 (0.19740638809814956)
Spectralis,0.5836340535102011 (0.21307133593151228),0.8803427952234862 (0.13136772472667202),0.4734500263484172 (0.19827372086799164)
Topcon,0.47429743883986547 (0.22389983722978216),0.5977402503605191 (0.2578859836309605),0.6663261281048998 (0.1058808514923961)
