Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.4518201284796574 (0.4982069844316355),0.6140724946695096 (0.4873334068521757),0.6215686274509804 (0.48547213383158516)
Spectralis,0.30625 (0.46238206043414004),0.5621621621621622 (0.4974671451634154),0.49101796407185627 (0.5014228366569786)
Topcon,0.7026378896882494 (0.45764630468904255),0.8154897494305239 (0.3883423079994726),0.8823529411764706 (0.32264193605736086)
