Volume,dice_PED
TRAIN003,0.3828125 (0.48798305362985855)
TRAIN005,0.30632168403826654 (0.34158142047121026)
TRAIN006,0.0859375 (0.2813730045980521)
TRAIN009,0.15915474947541952 (0.3309637617406887)
TRAIN020,0.22583474981365725 (0.28794902260921773)
TRAIN030,0.4470018032862216 (0.3558042447682939)
TRAIN036,0.3469387755102041 (0.48092880658867054)
TRAIN038,0.46243626958861644 (0.3430091212562195)
TRAIN045,0.06583614879268773 (0.12978508386163032)
TRAIN047,0.20408163265306123 (0.4072055089639779)
TRAIN055,0.36626411660108715 (0.3644585546143935)
TRAIN058,0.21267597383121029 (0.3367458233216908)
TRAIN061,0.4133429875364527 (0.3842651658528861)
TRAIN066,0.453125 (0.49975387643106284)
