Volume,dice_SRF
TRAIN004,0.7777777777777778 (0.44095855184409843)
TRAIN007,0.8671875 (0.3407054688956916)
TRAIN018,0.984375 (0.12450690143095283)
TRAIN022,0.59375 (0.4930621017888848)
TRAIN024,0.5625 (0.49802760572381144)
TRAIN026,0.9591836734693877 (0.19991494790174602)
TRAIN034,0.9387755102040817 (0.24222607082590245)
TRAIN040,0.5121951219512195 (0.5060608273474739)
TRAIN043,0.7083333333333334 (0.46430562148753646)
TRAIN044,0.75 (0.5)
TRAIN052,0.9217391304347826 (0.26975707352826817)
TRAIN054,0.9669421487603306 (0.17953106961937726)
TRAIN059,0.9292035398230089 (0.2576270199647723)
TRAIN069,0.7698412698412699 (0.42261468810628744)
