vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.62 (0.14),0.81 (0.03),0.68 (0.10)
Spectralis,0.65 (0.06),0.80 (0.01),0.74 (0.05)
Topcon,0.71 (0.10),0.82 (0.04),0.74 (0.11)
