Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6847826086956522 (0.4671481828597473),0.65625 (0.47682513013096256),0.375 (0.4860251767562508)
TRAIN005,0.0625 (0.24301258837812542),0.547945205479452 (0.5011402523360258),0.391304347826087 (0.49161771686915634)
TRAIN006,0.11688311688311688 (0.3233877407933399),0.78125 (0.41502300476984266),0.6875 (0.4653336792785003)
TRAIN009,0.18681318681318682 (0.3919208511956893),0.8125 (0.39184602471712554),0.35964912280701755 (0.4820162847918455)
TRAIN020,0.06329113924050633 (0.24504171031127586),0.0 (0.0),0.0 (0.0)
TRAIN030,0.5 (0.5085476277156078),0.8275862068965517 (0.38442587221924474),0.9411764705882353 (0.24253562503633297)
TRAIN036,0.15384615384615385 (0.36794648440311994),0.9795918367346939 (0.14285714285714285),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.2857142857142857 (0.4564354645876384),0.6666666666666666 (0.5),0.5625 (0.51234753829798)
TRAIN045,0.36666666666666664 (0.490132517853561),0.5510204081632653 (0.5025445456953673),0.6944444444444444 (0.4671765921511567)
TRAIN047,0.76 (0.4358898943540673),0.7755102040816326 (0.42156979070537565),0.8163265306122449 (0.39123039821797584)
TRAIN055,0.8629032258064516 (0.34534482400809824),0.84375 (0.36451888256718806),0.9545454545454546 (0.20989507868443236)
TRAIN058,0.6328125 (0.4839322811674229),0.6953125 (0.4620835004815934),0.776595744680851 (0.41876046786207405)
TRAIN061,0.7333333333333333 (0.44519456218399406),0.8363636363636363 (0.3733549777275501),0.7681159420289855 (0.4251272313441583)
TRAIN066,0.7111111111111111 (0.45578539313393673),0.9921875 (0.08838834764831843),0.8828125 (0.3229074060986924)
