Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.18110300226348955 (0.3494319699116646),0.06499758685408778 (0.15982517282302294),0.07584240469741417 (0.199622659362761)
Spectralis,0.3279282398673953 (0.3697503190613388),0.558372721836275 (0.46601438513394805),0.5852035021447406 (0.4649871731247003)
Topcon,0.03007861238906376 (0.10331041792575063),0.022896033055855827 (0.09243673970245775),0.13547473783962363 (0.29910935338052397)
