vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.16 (0.03),0.18 (0.07),0.09 (0.08)
Spectralis,0.27 (0.02),0.45 (0.14),0.34 (0.19)
Topcon,0.33 (0.06),0.49 (0.08),0.14 (0.09)
