Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.29850666886516686 (0.2044901771331422),0.14915544223040342 (0.09208159938840302),nan (nan)
TRAIN010,0.22447145187898593 (0.2219652156820565),nan (nan),nan (nan)
TRAIN011,0.3483084853300277 (0.21943844189645229),0.14889490347861017 (0.15316093707966089),0.045385658613998785 (0.05913126273660588)
TRAIN013,0.04115510422788146 (0.10400879939689851),0.04982873390858563 (0.11630110767779064),0.1412598699204285 (0.07131198486174282)
TRAIN015,nan (nan),0.1640095099946484 (0.11300037438986762),0.22413877193771659 (0.08434867530037708)
TRAIN028,nan (nan),0.6914881382669721 (0.1265554911812162),0.16564655701883815 (0.16894176169202763)
TRAIN029,0.6442474941996967 (0.17018351465820233),0.818347305059433 (0.05707648719904869),nan (nan)
TRAIN032,0.6299081867446705 (0.13069268381182816),0.8045250961885733 (0.14575189964708032),nan (nan)
TRAIN041,0.38738034168879193 (0.16399513984812597),nan (nan),nan (nan)
TRAIN046,0.4007149396671189 (0.20202432427671715),0.35835301876068115 (0.3472156245617596),0.33214171704920853 (0.17528170203284243)
TRAIN049,nan (nan),0.4201393730350231 (0.2761630021013453),0.28014155605743674 (0.13378188848170552)
TRAIN050,0.11795163069021057 (0.1353296767688887),nan (nan),0.14160709697964854 (0.09774609258204411)
TRAIN051,0.19444966019720447 (0.12826067477858397),0.41117372431538324 (0.17449114075268166),nan (nan)
TRAIN056,0.3181590023967955 (0.24227776474006318),nan (nan),nan (nan)
