Volume,dice_IRF
TRAIN001,0.5894527867203578 (0.32800386001654536)
TRAIN010,0.7604775730287656 (0.3910120435343962)
TRAIN011,0.642783798626624 (0.4259540550336047)
TRAIN013,0.30485673574730754 (0.39719541117393614)
TRAIN015,0.09375 (0.29262590667923194)
TRAIN028,0.7346938775510204 (0.4460712855998855)
TRAIN029,0.8046015190834902 (0.3087724463815712)
TRAIN032,0.658465745497723 (0.1345878373046264)
TRAIN041,0.6311307263617613 (0.4779045108642736)
TRAIN046,0.6455109885760716 (0.2913209696802986)
TRAIN049,0.75 (0.4347141336013311)
TRAIN050,0.6836423176719109 (0.40448103524285195)
TRAIN051,0.7049832099583 (0.3616896522092119)
TRAIN056,0.868778838776052 (0.25100332053671115)
