Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2112972284316729 (0.20083119363952986),0.2458762385110647 (0.22407611448625908),0.17036111721075897 (0.11858536067239424)
Spectralis,0.5183495951550348 (0.2027036027679179),0.7435496939640296 (0.17145569043403888),0.3257657347077673 (0.20100287152518284)
Topcon,0.1705268173709314 (0.18523974577644756),0.35270772263316846 (0.23011097849017567),0.29135425419431843 (0.1587696441096739)
