Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7941373118541378 (0.3415764308248273),0.8617592126131057 (0.27367691180325643),0.6317736379594863 (0.4489880075946376)
Spectralis,0.6628170454228411 (0.40601842576317987),0.8871703184380824 (0.2835459041587559),0.7784891331188228 (0.35117038650498855)
Topcon,0.8744835396100825 (0.281147214768163),0.832590784993954 (0.3368827358526833),0.78040834593412 (0.3382003404735994)
