Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.7318827583803795 (0.3852345436174255),0.8279799236916006 (0.13642340596894018),0.7305102329119109 (0.29803510544687933)
TRAIN007,0.7191863413900137 (0.28904381400339707),0.9375 (0.2430125883781254),0.953125 (0.21220162006698995)
TRAIN018,0.9340075701475143 (0.2436526219667112),0.984375 (0.12450690143095285),1.0 (0.0)
TRAIN022,0.641963281086646 (0.27346469983042376),0.84375 (0.3645188825671883),0.9765625 (0.1518828677363284)
TRAIN024,0.9453125 (0.22826265262341358),0.796875 (0.4039056372217743),0.1914504683809355 (0.3328113679266335)
TRAIN026,0.9267467965885084 (0.2075358924057162),0.9591836734693877 (0.199914947901746),1.0 (0.0)
TRAIN034,0.7204205190040627 (0.33381474292390917),1.0 (0.0),0.9795918367346939 (0.14285714285714285)
TRAIN040,0.7930689922400883 (0.24790508287998897),0.9224265546214824 (0.2133914551996495),0.9795918367346939 (0.14285714285714285)
TRAIN043,0.8123807487439136 (0.31201011889863106),0.8615015240348115 (0.2409328441565197),0.7812878129367089 (0.33707154779061543)
TRAIN044,0.7833534996120297 (0.27370898035455665),0.767180607026937 (0.2953158451778642),0.5701075512535718 (0.38512623432320114)
TRAIN052,0.6464228896074928 (0.43726300824247455),0.698379002744332 (0.44014480280395707),0.84375 (0.3645188825671882)
TRAIN054,0.8315111510455608 (0.2757532392172609),0.9497196832671762 (0.18945942195977047),0.8828125 (0.3229074060986924)
TRAIN059,0.7139633356709965 (0.284827993525843),0.8806596280774102 (0.28832232847442724),0.90625 (0.2926259066792318)
TRAIN069,0.9921875 (0.08838834764831843),0.8392356529366225 (0.366143043519293),0.6856987940263934 (0.34278542196106987)
