Volume,dice_SRF
TRAIN001,0.2825409220531583 (0.43474591185995093)
TRAIN010,0.75 (0.4347141336013311)
TRAIN011,0.42797084408812225 (0.43322248697869226)
TRAIN013,0.45235780510120094 (0.406244179401904)
TRAIN015,0.6316989432089031 (0.3528689931075058)
TRAIN028,0.8738328498236987 (0.2763517721045404)
TRAIN029,0.617426936723748 (0.47759692599322806)
TRAIN032,0.5578388218977013 (0.40418451410120937)
TRAIN041,0.8571428571428571 (0.35355339059327373)
TRAIN046,0.17940922993786482 (0.3718898854221603)
TRAIN049,0.8098898909520358 (0.36645180883062745)
TRAIN050,0.9140625 (0.28137300459805215)
TRAIN051,0.7673764610663056 (0.3960059022502935)
TRAIN056,0.328125 (0.47324236215002285)
