Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.08717645384740536 (0.18574396679547783),0.1217098800507074 (0.23641757312868292),0.07851652960434877 (0.1674805629815662)
Spectralis,0.23768122640191292 (0.29872024748354226),0.3386394373920499 (0.4300944480217795),0.2416461322608651 (0.38665692842119737)
Topcon,0.3561133130154173 (0.4435015847636212),0.5839359827566243 (0.48130112909619843),0.10924421451428705 (0.25606623024975333)
