Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.09836065573770492 (0.29815100177065645),0.2744721689059501 (0.44667678868602934),0.3108108108108108 (0.4632728984643562)
Spectralis,0.5038759689922481 (0.5019342431993697),0.48502994011976047 (0.5012789357107934),0.3854166666666667 (0.48796600316449096)
Topcon,0.23577235772357724 (0.4250569171543791),0.6547368421052632 (0.47595527327996073),0.4146341463414634 (0.49320587234979796)
