Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6883565838672693 (0.18206331648081428),0.6631761110387743 (0.19730302826046045),0.5863435598988666 (0.23932874999157175)
Spectralis,0.6602256014090726 (0.212306101287084),0.6460979256038386 (0.28030230499704467),0.63568005628056 (0.18542230270220422)
Topcon,0.6320518097036505 (0.2605748923589283),0.5365110279411583 (0.2769483576862755),0.4842481097659549 (0.22801344119312517)
