Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.5543478260869565 (0.4997610513603083),0.5546875 (0.4989531363599838),0.7578125 (0.4300905187640256)
TRAIN005,0.5 (0.5019646441105269),0.5753424657534246 (0.4977116584702121),0.6376811594202898 (0.48419170039153664)
TRAIN006,0.14285714285714285 (0.35222173467283346),0.4296875 (0.49697658732223665),0.625 (0.4860251767562508)
TRAIN009,0.8131868131868132 (0.3919208511956892),0.9375 (0.24301258837812542),0.8421052631578947 (0.3662521827757252)
TRAIN020,0.13924050632911392 (0.34840947082971624),0.0 (0.0),0.0 (0.0)
TRAIN030,0.6 (0.4982728791224397),0.7241379310344828 (0.454858826147342),0.23529411764705882 (0.4372373160976031)
TRAIN036,0.0 (0.0),0.42857142857142855 (0.5),0.7551020408163265 (0.4344830378784443)
TRAIN038,0.02040816326530612 (0.14285714285714285),1.0 (0.0),0.5625 (0.51234753829798)
TRAIN045,0.5333333333333333 (0.5074162634049248),0.4489795918367347 (0.5025445456953674),0.3055555555555556 (0.4671765921511567)
TRAIN047,0.56 (0.506622805119022),0.6326530612244898 (0.4870779177494949),0.42857142857142855 (0.5)
TRAIN055,0.4596774193548387 (0.5003932363958216),0.78125 (0.4150230047698428),0.9242424242424242 (0.2666375275454884)
TRAIN058,0.8984375 (0.30325903664538445),0.765625 (0.42527202966171956),0.7553191489361702 (0.43220291462960053)
TRAIN061,0.52 (0.5029641865709455),0.6727272727272727 (0.4735424207422438),0.8260869565217391 (0.3818115387869978)
TRAIN066,0.9111111111111111 (0.2861776161146145),0.9609375 (0.1945049743306584),0.984375 (0.12450690143095285)
