Volume,dice_PED
TRAIN001,nan (nan)
TRAIN008,nan (nan)
TRAIN017,0.662206996338708 (0.09302168172640396)
TRAIN020,0.5057522992750532 (0.2359488562469031)
TRAIN022,nan (nan)
TRAIN032,nan (nan)
TRAIN040,nan (nan)
TRAIN043,0.6790781112817618 (0.15907782869900877)
TRAIN044,0.5706736533730118 (0.10543972582236062)
TRAIN045,0.2813872102325639 (0.17146986906614933)
TRAIN049,0.45571607299919786 (0.14410586567418016)
TRAIN058,0.504752214121468 (0.16761317680470778)
TRAIN060,nan (nan)
TRAIN061,0.48775458386388876 (0.154984372552167)
