Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.13815144067712026 (0.1776907345785902),0.0161331802373752 (0.07575779327829307),0.0234375 (0.1518828677363284)
TRAIN010,0.03444189235960948 (0.09514140534202188),0.015625 (0.12450690143095285),0.0 (0.0)
TRAIN011,0.20334228726278525 (0.32592853039839315),0.17402312325430103 (0.3059965650602818),0.0038984290513326414 (0.016274989310579104)
TRAIN013,0.0409219627508719 (0.13856509191335772),0.1545680046583584 (0.3258013458931055),0.06636312112823362 (0.08720080991236029)
TRAIN015,0.0 (0.0),0.234254344337387 (0.19361285878579945),0.15866120107239112 (0.1433409977647115)
TRAIN028,0.061224489795918366 (0.24222607082590245),0.6272723613953104 (0.4268287624941086),0.23248695399688216 (0.3876233291486989)
TRAIN029,0.2657836575289162 (0.35613254370685615),0.3236664180852929 (0.45252027113765414),0.2857142857142857 (0.4564354645876384)
TRAIN032,0.5994220144894659 (0.1389113519025326),0.5413436527763095 (0.3839159813122818),0.061224489795918366 (0.24222607082590245)
TRAIN041,0.028948476728127927 (0.12051861017394404),0.20408163265306123 (0.4072055089639778),0.10204081632653061 (0.3058388709205983)
TRAIN046,0.25741131025917674 (0.2244786408987042),0.127765170925734 (0.32074439502605856),0.2437108485978477 (0.2343349170836729)
TRAIN049,0.2890625 (0.45510825483839257),0.07122957766841864 (0.20911561887147004),0.1446053973340895 (0.27691351099953765)
TRAIN050,0.22062010713125346 (0.38715929445342867),0.0 (0.0),0.08405757576110773 (0.14559833180682263)
TRAIN051,0.30464870180367143 (0.4127945677240017),0.05737211473751813 (0.14292173744008252),0.0078125 (0.08838834764831843)
TRAIN056,0.672423794050701 (0.4063829979593354),0.0 (0.0),0.0 (0.0)
