Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2814077172370162 (0.3733858674134728),0.45294829562772065 (0.49241089981133634),0.41538246556738156 (0.46334612773672695)
Spectralis,0.4294814400336876 (0.40482926686400134),0.5025372535598521 (0.45904833130049283),0.3223687119791474 (0.36110139517576767)
Topcon,0.2283788580498367 (0.3543614049122622),0.5318451386134256 (0.4510848081987828),0.32399108434910884 (0.3891365466758405)
