Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.17000212351085792 (0.321295764790742),0.1982197047513182 (0.3237657011650935),0.06835274956738431 (0.1537365417274239)
Spectralis,0.26878743592117516 (0.32900301913894114),0.40526144162428623 (0.4582955743524829),0.20395019884810459 (0.36569519518976756)
Topcon,0.4184129329593946 (0.4715348832293358),0.1425216883393919 (0.3329448155194749),0.0471385770859862 (0.128999558240966)
