Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6268456304210356 (0.19867441282426068),0.685162490606308 (0.2008143619654555),nan (nan)
TRAIN010,0.8448681945309919 (0.13648128640644694),nan (nan),nan (nan)
TRAIN011,0.5872192100128707 (0.2474449313604694),0.7327118923024434 (0.1370435417434966),0.2716623785143549 (0.23364237443913133)
TRAIN013,0.3934766803350713 (0.2416930737574507),0.7622941920390496 (0.12259572952921037),0.41729128872975707 (0.22236454340526393)
TRAIN015,nan (nan),0.8206491473317147 (0.1252111001100782),0.8112327974467051 (0.07372043635317041)
TRAIN028,nan (nan),0.8227512793881553 (0.09348449531346198),0.57110080529343 (0.27885673667119293)
TRAIN029,0.7146298324360567 (0.13853286248731142),0.9029782017072042 (0.03207384509075798),nan (nan)
TRAIN032,0.693629230771746 (0.13309977234777914),0.847564664833686 (0.16501219810419718),nan (nan)
TRAIN041,0.7464863061904907 (0.14729655437809822),nan (nan),nan (nan)
TRAIN046,0.6441894941445854 (0.25478121537980997),0.6705718139807383 (0.21556428563477054),0.8052520357510623 (0.1597425703732216)
TRAIN049,nan (nan),0.4875215952725787 (0.3113149206611928),0.4707665456266239 (0.20798908352352713)
TRAIN050,0.47845657300707456 (0.24010167430639892),nan (nan),0.5442653907970949 (0.2190804268152044)
TRAIN051,0.6017587668433482 (0.1841729402413827),0.7885936119339683 (0.1086705142338611),nan (nan)
TRAIN056,0.6476949547176007 (0.35099960708763267),nan (nan),nan (nan)
