Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.22442487665537703 (0.16629923480920894),0.1657015513861552 (0.14423398976668783),nan (nan)
TRAIN010,0.1928658467333983 (0.1749700038948322),nan (nan),nan (nan)
TRAIN011,0.3614071575815187 (0.1906848572686778),0.350052815612133 (0.3003886861951755),0.019317886749790472 (0.051769143779780556)
TRAIN013,0.055622568224660225 (0.11393347269927152),0.18935806266605282 (0.2206297607067258),0.0307145035970307 (0.05955482399380219)
TRAIN015,nan (nan),0.26136007910594344 (0.15128577007619304),0.3402500313130163 (0.1227826434523635)
TRAIN028,nan (nan),0.8135376742907933 (0.08053602668993198),0.18060160699215802 (0.21749601849683237)
TRAIN029,0.7189372953246621 (0.13143697988611863),0.8270230789979299 (0.07817235742355114),nan (nan)
TRAIN032,0.6909070416372649 (0.11830892591551277),0.8237219724585029 (0.13636223206502684),nan (nan)
TRAIN041,0.5670670668284098 (0.2011683978330227),nan (nan),nan (nan)
TRAIN046,0.4057316958076424 (0.23594811808116828),0.4314558332165082 (0.3038198257676942),0.3809151550698461 (0.25428809528023133)
TRAIN049,nan (nan),0.33751211491854566 (0.327543652842313),0.36029094354859714 (0.23681703294679152)
TRAIN050,0.05968709509014278 (0.12439792461705225),nan (nan),0.33316826331429183 (0.21804564121294712)
TRAIN051,0.08230198036917315 (0.09228085888247488),0.47871265695853665 (0.1928687768559711),nan (nan)
TRAIN056,0.19193850305897217 (0.2298486314868243),nan (nan),nan (nan)
