vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.30 (0.12),0.39 (0.12),0.40 (0.14)
Spectralis,0.58 (0.02),0.82 (0.06),0.61 (0.03)
Topcon,0.30 (0.14),0.47 (0.13),0.52 (0.14)
