Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5696018117596395 (0.3328552113701856),0.9488898904528469 (0.18636167118714916),0.9375 (0.2430125883781254)
TRAIN010,0.8312950127292424 (0.3305822728155967),0.9375 (0.2430125883781254),0.828125 (0.3787541741148854)
TRAIN011,0.6305061493767425 (0.4275221306825441),0.46349814953282475 (0.4448449564835831),0.3245484861981822 (0.44365549247992636)
TRAIN013,0.46173112466567545 (0.44785610283746974),0.7725628841435537 (0.2920583082401263),0.5703666442350368 (0.4001733619757473)
TRAIN015,0.3515625 (0.4793342454880914),0.8754444671794772 (0.11779974373185206),0.7076167620252818 (0.2869663703844108)
TRAIN028,0.8571428571428571 (0.35355339059327373),0.9342819251576249 (0.12831210464701015),0.8482387009627965 (0.3049798843821618)
TRAIN029,0.875366964510509 (0.23659106318549483),0.9234677468027387 (0.24253049282327951),0.9795918367346939 (0.14285714285714285)
TRAIN032,0.689198127206491 (0.12953130281911926),0.9034095430860714 (0.12879541006708492),0.5714285714285714 (0.5)
TRAIN041,0.9833114366142117 (0.06750545181986926),0.9795918367346939 (0.14285714285714285),0.9183673469387755 (0.27664166758624403)
TRAIN046,0.6063060352996904 (0.3140767362382524),0.569043190503607 (0.4863270912772785),0.7318673450119642 (0.2932647749925875)
TRAIN049,0.9375 (0.2430125883781254),0.8161602254840545 (0.35985760428010316),0.7310997989261523 (0.3884142987508161)
TRAIN050,0.8262432614865247 (0.30519365794315145),0.9609375 (0.19450497433065847),0.8494070689193904 (0.24043074244328613)
TRAIN051,0.7830965758766979 (0.30536364339034594),0.9713190644979477 (0.07277046929609203),0.9765625 (0.15188286773632836)
TRAIN056,0.8557417246047407 (0.27044708289587405),0.953125 (0.21304202581158674),0.875 (0.33333333333333326)
