Volume,dice_IRF
TRAIN004,0.4666666666666667 (0.5016825622427262)
TRAIN007,0.6226415094339622 (0.4893643873724844)
TRAIN018,0.736 (0.4425731213505126)
TRAIN022,0.16129032258064516 (0.373878250552983)
TRAIN024,0.5078125 (0.5019033653891718)
TRAIN026,0.8648648648648649 (0.34658349660669086)
TRAIN034,0.7222222222222222 (0.46088859896247675)
TRAIN040,0.6818181818181818 (0.4767312946227962)
TRAIN043,0.8387096774193549 (0.373878250552983)
TRAIN044,0.23809523809523808 (0.4364357804719847)
TRAIN052,0.68 (0.46882617226215056)
TRAIN054,0.8888888888888888 (0.31603030875998495)
TRAIN059,0.6666666666666666 (0.47609522856952324)
TRAIN069,0.5546875 (0.49895313635998373)
