Slice,PSNR,SSIM,MSE
Cirrus_TEST006_094.tiff,21.159,0.2,0.007656889036297798
Cirrus_TEST006_095.tiff,21.422,0.204,0.007207383867353201
Cirrus_TEST006_096.tiff,21.386,0.204,0.007267821114510298
Cirrus_TEST006_097.tiff,21.056,0.195,0.007840902544558048
Cirrus_TEST006_098.tiff,20.793,0.186,0.008330786600708961
Cirrus_TEST006_099.tiff,20.862,0.189,0.00819904264062643
Cirrus_TEST006_100.tiff,20.903,0.192,0.008122439496219158
Cirrus_TEST006_101.tiff,20.839,0.188,0.008243531920015812
Cirrus_TEST006_102.tiff,20.551,0.181,0.00880921259522438
Cirrus_TEST006_103.tiff,20.327,0.178,0.009274577721953392
Cirrus_TEST006_104.tiff,20.483,0.178,0.008947125636041164
Cirrus_TEST006_105.tiff,20.625,0.182,0.008659995160996914
Cirrus_TEST006_106.tiff,20.61,0.178,0.00868864357471466
Cirrus_TEST006_107.tiff,20.617,0.182,0.008675582706928253
Cirrus_TEST006_108.tiff,20.52,0.179,0.008870928548276424
Cirrus_TEST006_109.tiff,20.776,0.187,0.008364169858396053
Cirrus_TEST006_110.tiff,20.754,0.187,0.008406981825828552
Cirrus_TEST006_111.tiff,20.74,0.185,0.008433405309915543
Cirrus_TEST006_112.tiff,20.683,0.189,0.008545381017029285
Cirrus_TEST006_113.tiff,20.569,0.183,0.008772727102041245
Cirrus_TEST006_114.tiff,20.628,0.185,0.008654008619487286
Cirrus_TEST006_115.tiff,20.403,0.176,0.009112938307225704
Cirrus_TEST006_116.tiff,20.741,0.19,0.00843117292970419
Cirrus_TEST006_117.tiff,21.088,0.201,0.007784785237163305
Cirrus_TEST006_118.tiff,20.972,0.198,0.007994381710886955
Cirrus_TEST006_119.tiff,21.462,0.207,0.0071409628726542
Cirrus_TEST006_120.tiff,21.298,0.202,0.0074168420396745205
Cirrus_TEST006_121.tiff,20.785,0.19,0.00834699347615242
Cirrus_TEST006_122.tiff,20.599,0.181,0.00871166680008173
Cirrus_TEST006_123.tiff,20.945,0.19,0.008044440299272537
Cirrus_TEST006_124.tiff,21.173,0.194,0.007632760796695948
