Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5295454545454545 (0.49969446038337645),0.6501650165016502 (0.4773116581496171),0.6970802919708029 (0.4599406377465872)
Spectralis,0.4188034188034188 (0.4954850677891353),0.5185185185185185 (0.5015178729550036),0.5391304347826087 (0.5006479402040029)
Topcon,0.4161073825503356 (0.49346406824551214),0.6033057851239669 (0.48971769182767994),0.34513274336283184 (0.47593831243171686)
