vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.59 (0.09),0.68 (0.09),0.52 (0.11)
Spectralis,0.61 (0.07),0.82 (0.05),0.62 (0.05)
Topcon,0.55 (0.07),0.67 (0.04),0.51 (0.13)
