Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.12954545454545455 (0.33618491051315863),0.466996699669967 (0.49932174491781084),0.4233576642335766 (0.494542467436694)
Spectralis,0.3418803418803419 (0.47637990422005616),0.35555555555555557 (0.48046412055873483),0.21739130434782608 (0.41427613249958056)
Topcon,0.18344519015659955 (0.38746472255782644),0.49793388429752067 (0.5005130574434832),0.22566371681415928 (0.41848184304697245)
