Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5588422287656958 (0.2036417465919442),0.6516055166721344 (0.2134704259992292),nan (nan)
TRAIN010,0.8452867374700659 (0.07427075789829808),nan (nan),nan (nan)
TRAIN011,0.4500993893427007 (0.2047191068884255),0.6313424688286897 (0.17279055476799707),0.18610312561081213 (0.18348857320245276)
TRAIN013,0.320420721752776 (0.2160654239299377),0.6937595195495165 (0.1706716358177286),0.23141323157699045 (0.14537254265308192)
TRAIN015,nan (nan),0.6780923148989677 (0.14682704790100415),0.4690555273776963 (0.14031124352223925)
TRAIN028,nan (nan),0.68683979340962 (0.1460203686265738),0.30038763325005263 (0.2370256591436041)
TRAIN029,0.6401116287007051 (0.19133514775365756),0.8329795300960541 (0.10834328493040928),nan (nan)
TRAIN032,0.5954562688664514 (0.13590395340638564),0.841945923426572 (0.10002777045261398),nan (nan)
TRAIN041,0.7810630798339844 (0.07790649164924372),nan (nan),nan (nan)
TRAIN046,0.4376446356376012 (0.15896475353151132),0.28274397552013397 (0.13542283589380202),0.6612408301409554 (0.1492089948767857)
TRAIN049,nan (nan),0.545916033418555 (0.20261899476081394),0.3388985624087268 (0.19417138581028343)
TRAIN050,0.30850159799730453 (0.22015727770444504),nan (nan),0.26703053377357056 (0.17297321590177098)
TRAIN051,0.5199577969555952 (0.14125118030944459),0.7897186902436343 (0.09046648545871694),nan (nan)
TRAIN056,0.5021603416513514 (0.3047040575638432),nan (nan),nan (nan)
