Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.14545454545454545 (0.3529598539797876),0.15841584158415842 (0.36543210968653506),0.0 (0.0)
Spectralis,0.02564102564102564 (0.15874173676775258),0.26666666666666666 (0.4438636337583136),0.12173913043478261 (0.32841528286116806)
Topcon,0.378076062639821 (0.48545006027154447),0.6756198347107438 (0.46862716123986287),0.061946902654867256 (0.2413261895622928)
