Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.44766146993318484 (0.49780779365865585),0.7806603773584906 (0.41428800495603113),0.6324786324786325 (0.4826460010021328)
Spectralis,0.8357142857142857 (0.37186510832189656),0.8563829787234043 (0.3516374258820003),0.84 (0.3675260220507143)
Topcon,0.9223880597014925 (0.26796018982314573),0.9238329238329238 (0.26559173008716064),0.8666666666666667 (0.34038878893000213)
