Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.23214285714285715 (0.42602054703207265),0.5964912280701754 (0.4927671234726092),0.5546875 (0.4989531363599838)
TRAIN017,0.3048780487804878 (0.46318874349965344),0.3828125 (0.48798305362985833),0.7413793103448276 (0.441701051064854)
TRAIN019,0.391304347826087 (0.4907164920657184),0.75 (0.43471413360133104),0.765625 (0.42527202966171973)
TRAIN021,0.7804878048780488 (0.4164633650362829),0.9166666666666666 (0.277673916200852),0.7578125 (0.4300905187640256)
TRAIN023,0.7421875 (0.439149029463507),0.640625 (0.48170260698360673),0.6886792452830188 (0.46523332696349284)
TRAIN025,0.42105263157894735 (0.5072572735017882),0.3877551020408163 (0.4922874554317936),0.7 (0.47016234598162726)
TRAIN031,0.5918367346938775 (0.49658699082414787),0.6938775510204082 (0.465657314657332),0.8181818181818182 (0.3916747259003201)
TRAIN035,0.24489795918367346 (0.43448303787844417),1.0 (0.0),0.38461538461538464 (0.5063696835418333)
TRAIN037,nan (nan),0.3548387096774194 (0.4863734571139201),0.32653061224489793 (0.4738035414793428)
TRAIN053,0.11764705882352941 (0.3270349700838643),0.11764705882352941 (0.32539568672798425),0.0 (0.0)
TRAIN057,0.21875 (0.4150230047698428),0.46938775510204084 (0.5042337758225566),0.5 (0.5075192189225523)
TRAIN060,0.45555555555555555 (0.5008108282005755),0.53125 (0.5009832851188789),0.3046875 (0.4620835004815935)
TRAIN065,0.9270833333333334 (0.26136450315368376),0.734375 (0.443400869088753),0.375 (0.4860251767562509)
TRAIN070,0.24242424242424243 (0.43073049225394816),0.7890625 (0.4095771537596912),0.40625 (0.49306210178888477)
