Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.1731930311434553 (0.31406714282772624),0.4731856053294905 (0.28143287932471034),0.17341356147426268 (0.20211543848988486)
TRAIN007,0.2611515724565834 (0.2606969599467263),0.078125 (0.269422684043429),0.0234375 (0.1518828677363284)
TRAIN018,0.0016103202942758799 (0.01052745782298667),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN022,0.22804008753155358 (0.2125928256953809),0.09375 (0.2926259066792319),0.0 (0.0)
TRAIN024,0.1640625 (0.3717874202104902),0.2421875 (0.4300905187640257),0.009458565244131023 (0.0305726416463798)
TRAIN026,0.3076740278273213 (0.4198891658395221),0.32653061224489793 (0.4738035414793429),0.3673469387755102 (0.4870779177494949)
TRAIN034,0.2840938863097405 (0.30037851471450244),0.08163265306122448 (0.2766416675862441),0.08163265306122448 (0.27664166758624403)
TRAIN040,0.35552243310578013 (0.3314660665059016),0.15466280129491067 (0.310284555374542),0.12244897959183673 (0.331200660553418)
TRAIN043,0.21069136809329597 (0.29723518166958385),0.4364975401941611 (0.42129377696864156),0.3523112936895721 (0.3554222139420973)
TRAIN044,0.3779293669729817 (0.34290492984358023),0.7180644406043754 (0.2922584895561135),0.2910833583802593 (0.2813984062308901)
TRAIN052,0.1619712196988985 (0.3232586117591065),0.050857774513133336 (0.20098394681013823),0.0 (0.0)
TRAIN054,0.4339303072592884 (0.4770135175119),0.2917194623150863 (0.44529317355117937),0.046875 (0.21220162006698995)
TRAIN059,0.3898837800770707 (0.42112372540074683),0.34525399608537555 (0.45184009221581545),0.03125 (0.1746763035549529)
TRAIN069,0.5 (0.501964644110527),0.8143648621626198 (0.38570933081004194),0.12925951136276126 (0.17686596344557798)
