Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6491647503840795 (0.425826421761701),0.7178506758064032 (0.39660578467938684),0.6706367086560932 (0.43217509212618793)
Spectralis,0.6528903799397605 (0.40407183713351646),0.872418433731916 (0.2950266418694256),0.7599286792685791 (0.35853497388736066)
Topcon,0.8278901483718073 (0.3270239674306561),0.8243466555722989 (0.3417443764936376),0.7916435673469095 (0.32620916808107)
