vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.57 (0.20),0.78 (0.07),0.62 (0.22)
Spectralis,0.67 (0.22),0.82 (0.09),0.76 (0.13)
Topcon,0.75 (0.19),0.82 (0.14),0.74 (0.16)
