vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.37 (0.21),0.20 (0.05),0.29 (0.28)
Spectralis,0.16 (0.10),0.38 (0.20),0.43 (0.18)
Topcon,0.50 (0.26),0.66 (0.17),0.33 (0.28)
