Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.4895952402148396 (0.34199890632833996),0.9507783148437738 (0.18857368336690503),0.921875 (0.2694226840434289)
TRAIN010,0.8326624273322523 (0.3346302986383233),0.90625 (0.29262590667923183),0.890625 (0.31333549728408944)
TRAIN011,0.5671377105172724 (0.4452100147609863),0.46722215809859335 (0.4416152369870868),0.25126772838120814 (0.40410634801769146)
TRAIN013,0.5099175421637483 (0.4462654398555837),0.6840214749681763 (0.35929157238695825),0.6218140640412457 (0.3657001300297472)
TRAIN015,0.3125 (0.4653336792785002),0.8729436120484024 (0.1323715418499757),0.70117149699945 (0.28288261352813343)
TRAIN028,0.9795918367346939 (0.14285714285714285),0.9179638490384939 (0.17548632388923893),0.7994533695413598 (0.36748092371823227)
TRAIN029,0.8702355471192574 (0.23127161371041763),0.8832372791913091 (0.30389828283897014),1.0 (0.0)
TRAIN032,0.7005725363079383 (0.1260936729752315),0.775608490924446 (0.3144451263342269),0.5714285714285714 (0.4999999999999999)
TRAIN041,0.8868493522916522 (0.3057982681588444),0.9795918367346939 (0.14285714285714285),0.9591836734693877 (0.19991494790174602)
TRAIN046,0.7154433350173794 (0.2587258617534593),0.5715282747940141 (0.4875043891100508),0.779726010196063 (0.26804212947686856)
TRAIN049,1.0 (0.0),0.8244920095894486 (0.347489039839643),0.7969192377058789 (0.3375612964127979)
TRAIN050,0.817825487232767 (0.30657127329516265),0.96875 (0.1746763035549529),0.8316632319474593 (0.27601373393944684)
TRAIN051,0.7324615179095417 (0.343097822227959),0.9354472407139838 (0.1776440129445534),0.9375 (0.2430125883781254)
TRAIN056,0.8641339954920113 (0.2586275242715163),0.65625 (0.478713553878169),0.859375 (0.35038244411336755)
