Volume,dice_IRF,dice_SRF,dice_PED
D2S1,nan (nan),0.31355979666113853 (0.13821572979925625),nan (nan)
D3S1,nan (nan),0.5585515350103378 (0.10649001361252457),0.0960296168923378 (0.01488850067701885)
D4S1,0.6845000609755516 (0.21657244139033055),nan (nan),nan (nan)
D4S2,0.5249291621148586 (0.291832750166038),0.3856669118007024 (0.22365810504765465),nan (nan)
D5S2,nan (nan),0.38355536873524004 (0.1481176003385187),nan (nan)
D5S3,nan (nan),0.5818486234971455 (0.10208817839110573),nan (nan)
