vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.62 (0.06),0.73 (0.07),0.58 (0.02)
Spectralis,0.63 (0.07),0.84 (0.03),0.65 (0.06)
Topcon,0.57 (0.05),0.65 (0.10),0.56 (0.08)
