Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.21297726935664213 (0.17073194360042884),0.04869872257113457 (0.06741749452303396),nan (nan)
TRAIN010,0.1683658923378543 (0.14690905510527838),nan (nan),nan (nan)
TRAIN011,0.4325164994772743 (0.20119653313963648),0.021634876364614905 (0.05717672597161557),0.008244678018275987 (0.019407733274166113)
TRAIN013,0.06243505542321751 (0.1244295858275466),0.013140631080246889 (0.036837182407093945),0.059364647871310204 (0.06823324695531345)
TRAIN015,nan (nan),0.10475903084035963 (0.09205805512515755),0.27138459345414523 (0.1061583968024287)
TRAIN028,nan (nan),0.760852358170918 (0.0902066968137307),0.1721319387116554 (0.2536123842235334)
TRAIN029,0.6565164064659792 (0.1515271446482786),0.852437804142634 (0.05047387689634214),nan (nan)
TRAIN032,0.6169014861997293 (0.1406693734971126),0.7968737366883194 (0.16241884291180303),nan (nan)
TRAIN041,0.4678083856900533 (0.18380130667406633),nan (nan),nan (nan)
TRAIN046,0.3632426580879837 (0.19587422196939883),0.43860120077927905 (0.23099934729249227),0.3316667275079949 (0.2208322753313503)
TRAIN049,nan (nan),0.4273157805988663 (0.28770732443202596),0.3581479535406006 (0.21656001844873765)
TRAIN050,0.16500614450086612 (0.19237856845821982),nan (nan),0.22209617495536804 (0.18164903991530396)
TRAIN051,0.19016351228180742 (0.16482000178522813),0.269090022447265 (0.2377396124466827),nan (nan)
TRAIN056,0.24502214654866192 (0.26594095938437196),nan (nan),nan (nan)
