vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.26 (0.22),0.46 (0.14),0.44 (0.19)
Spectralis,0.43 (0.06),0.55 (0.15),0.43 (0.20)
Topcon,0.42 (0.24),0.66 (0.11),0.53 (0.24)
