Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6094425229832285 (0.2030267907759586),0.8062177237843265 (0.11604637112051103),0.5869709636680172 (0.27158486126031833)
Spectralis,0.6961428245593761 (0.18765731545380668),0.8040751373538604 (0.19638499709867682),0.6398957196473724 (0.20807389851403135)
Topcon,0.5847273502316508 (0.20459476455262116),0.5647039848404962 (0.22129949721629466),0.4706816453425611 (0.1718116983269278)
