Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.747072599531616 (0.43519959467490155),0.8138195777351248 (0.3896262978811754),0.7702702702702703 (0.421065614559461)
Spectralis,0.813953488372093 (0.3906613355193568),0.9101796407185628 (0.28678414924416845),0.8802083333333334 (0.32556669615835926)
Topcon,0.7913279132791328 (0.40691124887780716),0.8905263157894737 (0.31256178603055257),0.811529933481153 (0.39152137545136534)
