Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.3361884368308351 (0.472910846014366),0.744136460554371 (0.4368114245930011),0.2529411764705882 (0.43512432619217295)
Spectralis,0.33125 (0.4721405158071766),0.7027027027027027 (0.45830885167675345),0.6287425149700598 (0.48459420315951535)
Topcon,0.750599520383693 (0.4331857339478337),0.8929384965831435 (0.3095441830038558),0.742296918767507 (0.4379834937587102)
